Chapter,Title,Volume,Arc
1,Romance Dawn,Volume 1,Romance Dawn Arc Chapters
2,"They Call Him ""Straw Hat Luffy""",Volume 1,Romance Dawn Arc Chapters
3,Enter Zolo: Pirate Hunter,Volume 1,Romance Dawn Arc Chapters
4,The Great Captain Morgan,Volume 1,Romance Dawn Arc Chapters
5,The King of the Pirates and the Master Swordsman,Volume 1,Romance Dawn Arc Chapters
6,Number One,Volume 1,Romance Dawn Arc Chapters
7,Friends,Volume 1,Romance Dawn Arc Chapters
8,Nami,Volume 1,Orange Town Arc Chapters
9,Femme Fatale,Volume 2,Orange Town Arc Chapters
10,Incident at the Tavern,Volume 2,Orange Town Arc Chapters
11,Flight,Volume 2,Orange Town Arc Chapters
12,Dog,Volume 2,Orange Town Arc Chapters
13,Treasure,Volume 2,Orange Town Arc Chapters
14,Reckless,Volume 2,Orange Town Arc Chapters
15,Gong,Volume 2,Orange Town Arc Chapters
16,Versus Buggy's Crew,Volume 2,Orange Town Arc Chapters
17,"High Level, Low Level",Volume 2,Orange Town Arc Chapters
18,The Pirate Buggy the Clown,Volume 3,Orange Town Arc Chapters
19,Devil Fruit,Volume 3,Orange Town Arc Chapters
20,The Way of the Thief,Volume 3,Orange Town Arc Chapters
21,Townies,Volume 3,Orange Town Arc Chapters
22,Strange Creatures,Volume 3,Syrup Village Arc Chapters
23,The Dread Captain Usopp,Volume 3,Syrup Village Arc Chapters
24,The Lie Rejecter,Volume 3,Syrup Village Arc Chapters
25,Lies,Volume 3,Syrup Village Arc Chapters
26,Captain Kuro's Plan,Volume 3,Syrup Village Arc Chapters
27,True Lies,Volume 4,Syrup Village Arc Chapters
28,Crescent Moon,Volume 4,Syrup Village Arc Chapters
29,Uphill Battle,Volume 4,Syrup Village Arc Chapters
30,Backfire,Volume 4,Syrup Village Arc Chapters
31,Truth,Volume 4,Syrup Village Arc Chapters
32,Cruel Fortune,Volume 4,Syrup Village Arc Chapters
33,The Creeping Cat,Volume 4,Syrup Village Arc Chapters
34,A Humble Servant,Volume 4,Syrup Village Arc Chapters
35,The Steep Slope,Volume 4,Syrup Village Arc Chapters
36,After Them!!,Volume 5,Syrup Village Arc Chapters
37,"Captain Kuro, of the Thousand Plans",Volume 5,Syrup Village Arc Chapters
38,Pirate Crew,Volume 5,Syrup Village Arc Chapters
39,For Whom the Bell Tolls,Volume 5,Syrup Village Arc Chapters
40,Usopp's Pirate Crew,Volume 5,Syrup Village Arc Chapters
41,To the Sea,Volume 5,Syrup Village Arc Chapters
42,Yosaku and Johnny,Volume 5,Baratie Arc Chapters
43,Sanji,Volume 5,Baratie Arc Chapters
44,Three Tough Cooks,Volume 5,Baratie Arc Chapters
45,Before the Storm,Volume 6,Baratie Arc Chapters
